model,t_abs,L,rank,lambda_exact,lambda_fv_fine,lambda_fem_fine,kx,ky,multiplicity
kk_interval_dirichlet,0.1,12.0,7,3.3584070531484618,3.357999126718937,3.358815019217587,7,0,1
kk_interval_dirichlet,0.1,12.0,8,4.386490844928603,4.385794950799266,4.387186827378818,8,0,1
kk_interval_dirichlet,0.1,12.0,9,5.551652475612764,5.550537806565558,5.552767323706855,9,0,1
kk_interval_dirichlet,0.1,12.0,10,6.853891945200944,6.852193045571653,6.855591181727521,10,0,1
kk_interval_dirichlet,0.1,12.0,11,8.29320925369314,8.290721946540486,8.29569715765788,11,0,1
kk_interval_dirichlet,0.1,12.0,12,9.869604401089358,9.866081716515168,9.873128091554873,12,0,1
kk_interval_dirichlet,0.1,12.0,13,9.938143320541368,9.934620466060494,9.941667180913818,1,1,1
kk_interval_dirichlet,0.1,12.0,14,10.143760078897396,10.140234675825127,10.147286487882749,2,1,1
kk_interval_dirichlet,0.1,12.0,15,10.486454676157443,10.48291822925438,10.489992129197283,3,1,1
kk_interval_dirichlet,0.1,12.0,16,10.966227112321508,10.962660932293886,10.969794299620224,4,1,1
kk_interval_dirichlet,0.1,12.0,17,11.583077387389594,11.578225492132844,11.586707272243327,5,1,1
kk_interval_dirichlet,0.1,12.0,18,11.583077387389595,11.579448513691432,11.587930908585887,13,0,1
kk_interval_dirichlet,0.1,12.0,19,12.337005501361698,12.333262625422094,12.340749398912315,6,1,1
kk_interval_dirichlet,0.1,12.0,20,13.22801145423782,13.224080843234105,13.23194311077246,7,1,1
kk_interval_dirichlet,0.1,12.0,21,13.433628212593847,13.427102341017758,13.440156620417474,14,0,1
kk_interval_dirichlet,0.1,12.0,22,14.25609524601796,14.251876667314434,14.260314918933691,8,1,1
kk_interval_dirichlet,0.1,12.0,23,15.421256876702119,15.412657263297092,15.425895415261728,15,0,1
kk_interval_dirichlet,0.1,12.0,24,15.421256876702122,15.416619523080726,15.42986032672565,9,1,1
kk_interval_dirichlet,0.1,12.0,25,16.723496346290304,16.71827476208682,16.728719273282394,10,1,1
kk_interval_dirichlet,0.1,12.0,26,17.54596337971441,17.534831193236528,17.557101216824464,16,0,1
kk_interval_dirichlet,0.1,12.0,27,18.162813654782497,18.156803663055655,18.16882524921275,11,1,1
kk_interval_dirichlet,0.1,12.0,28,19.739208802178716,19.732163433030337,19.746256183109747,12,1,1
kk_interval_dirichlet,0.1,12.0,29,19.80774772163073,19.793561000998068,19.82194257141514,17,0,1
kk_interval_dirichlet,0.1,12.0,30,21.452681788478955,21.444307208648013,21.46105900014076,13,1,1
kk_interval_dirichlet,0.01,18.0,1,0.030461741978670857,0.03046170841662388,0.03046177554030186,1,0,1
kk_interval_dirichlet,0.01,18.0,2,0.12184696791468343,0.12184643092638225,0.12184750490522991,2,0,1
kk_interval_dirichlet,0.01,18.0,3,0.2741556778080377,0.27415295930995853,0.2741583963278747,3,0,1
kk_interval_dirichlet,0.01,18.0,4,0.4873878716587337,0.4873792798887848,0.48739646355034627,4,0,1
kk_interval_dirichlet,0.01,18.0,5,0.7615435494667715,0.7615225735485751,0.7615645258473054,5,0,1
kk_interval_dirichlet,0.01,18.0,6,1.0966227112321507,1.0965792157787178,1.0966662080653506,6,0,1
kk_interval_dirichlet,0.01,18.0,7,1.492625356954872,1.4925447767193418,1.4927059406700744,7,0,1
kk_interval_dirichlet,0.01,18.0,8,1.9495514866349348,1.9494140212196385,1.949688959804365,8,0,1
kk_interval_dirichlet,0.01,18.0,9,2.4674011002723395,2.4671809089069257,2.467621307357441,9,0,1
kk_interval_dirichlet,0.01,18.0,10,3.046174197867086,3.045838594267991,3.046509831046146,10,0,1
kk_interval_dirichlet,0.01,18.0,11,3.685870779419173,3.685379426737086,3.6863621845028756,11,0,1
kk_interval_dirichlet,0.01,18.0,12,4.386490844928603,4.385794950799266,4.387186827378818,12,0,1
kk_interval_dirichlet,0.01,18.0,13,5.148034394395375,5.14707590610243,5.148993025455874,13,0,1
kk_interval_dirichlet,0.01,18.0,14,5.970501427819488,5.969212227577032,5.97179085076619,14,0,1
kk_interval_dirichlet,0.01,18.0,15,6.8538919452009415,6.852193045571653,6.855591181727521,15,0,1
kk_interval_dirichlet,0.01,18.0,16,7.798205946539739,7.796006685996247,7.800405703286199,16,0,1
kk_interval_dirichlet,0.01,18.0,17,8.803443431835879,8.800640670475616,8.80624690707028,17,0,1
kk_interval_dirichlet,0.01,18.0,18,9.869604401089358,9.866081716515168,9.873128091554873,18,0,1
kk_interval_dirichlet,0.01,18.0,19,9.90006614306803,9.896543424931792,9.903589867095175,1,1,1
kk_interval_dirichlet,0.01,18.0,20,9.991451369004041,9.98792814744155,9.994975596460103,2,1,1
kk_interval_dirichlet,0.01,18.0,21,10.143760078897396,10.140234675825127,10.147286487882749,3,1,1
kk_interval_dirichlet,0.01,18.0,22,10.356992272748093,10.353460996403953,10.36052455510522,4,1,1
kk_interval_dirichlet,0.01,18.0,23,10.63114795055613,10.627604290063744,10.634692617402179,5,1,1
kk_interval_dirichlet,0.01,18.0,24,10.966227112321508,10.962660932293886,10.969794299620224,6,1,1
kk_interval_dirichlet,0.01,18.0,25,10.996688854300178,10.992315737676392,11.001063362237149,19,0,1
kk_interval_dirichlet,0.01,18.0,26,11.36222975804423,11.35862649323451,11.365834032224948,7,1,1
kk_interval_dirichlet,0.01,18.0,27,11.819155887724293,11.815495737734807,11.822817051359237,8,1,1
kk_interval_dirichlet,0.01,18.0,28,12.184696791468344,12.179327843763076,12.19006763182193,20,0,1
kk_interval_dirichlet,0.01,18.0,29,12.337005501361698,12.333262625422094,12.340749398912315,9,1,1
kk_interval_dirichlet,0.01,18.0,30,12.915778598956443,12.91192031078316,12.91963792260102,10,1,1
kk_interval_dirichlet,0.001,24.0,1,0.017134729863002355,0.01713471924398391,0.017134740482335147,1,0,1
kk_interval_dirichlet,0.001,24.0,2,0.06853891945200942,0.06853874954532557,0.06853908935894534,2,0,1
kk_interval_dirichlet,0.001,24.0,3,0.15421256876702122,0.15421170861577593,0.154213428922226,3,0,1
kk_interval_dirichlet,0.001,24.0,4,0.2741556778080377,0.27415295930995853,0.2741583963278747,4,0,1
kk_interval_dirichlet,0.001,24.0,5,0.428368246575059,0.4283616096315086,0.4283748836010301,5,0,1
kk_interval_dirichlet,0.001,24.0,6,0.6168502750680849,0.6168365127392121,0.6168640376424105,6,0,1
kk_interval_dirichlet,0.001,24.0,7,0.8396017632871154,0.8395762669562146,0.8396272602375213,7,0,1
